목적,읍면동,설치장소,위도,경도,설치연도,설치대수
방범,성북동,성북동 120-16,35.192382,128.075472,2021,4
방범,성북동,성북동 121-1,35.196062,128.08108,2015,2
방범,성북동,성북동 12-13,35.192683,128.082809,2020,1
방범,성북동,성북동 12-16,35.191445,128.080669,2020,2
방범,성북동,성북동 1-24,35.193195,128.078995,2020,1
방범,성북동,성북동 1-25,35.192493,128.079286,2017,7
학교내,성북동,성북동 1-25,35.193687,128.077954,2022,12
방범,성북동,성북동 131-93,35.192666,128.07541,2022,2
방범,성북동,성북동 137-18,35.191016,128.075856,2016,3
방범,성북동,성북동 14-1,35.192687,128.081192,2020,2
방범,성북동,성북동 143-132,35.191248,128.074154,2019,4
방범,성북동,성북동 143-22,35.191331,128.073556,2017,3
방범,성북동,성북동 143-24,35.190152,128.07462,2016,2
방범,성북동,성북동 146-26,35.192131,128.073209,2017,2
방범,성북동,성북동 15-16,35.192467,128.080437,2020,1
방범,성북동,성북동 161-7,35.188607,128.074138,2019,3
방범,성북동,성북동 16-18,35.191542,128.080698,2021,2
방범,성북동,성북동 162,35.194729,128.079266,2023,2
방범,성북동,성북동 168,35.187773,128.073126,2019,2
방범,성북동,성북동 17-8,35.195143,128.077734,2020,3
방범,성북동,성북동 1-8,35.191424,128.078902,2019,2
방범,성북동,성북동 18-1,35.19512,128.078279,2020,2
방범,성북동,성북동 181-36,35.18997,128.071598,2016,3
재난재해,성북동,성북동 181-36,35.190018,128.071894,2023,1
방범,성북동,성북동 189-17,35.192111,128.069832,2015,3
방범,성북동,성북동 189-9,35.192757,128.070179,2015,4
방범,성북동,성북동 19-11,35.193916,128.077785,2018,2
방범,성북동,성북동 191-11,35.191385,128.070849,2019,3
방범,성북동,성북동 192-14,35.190489,128.071191,2023,4
방범,성북동,성북동 196-8,35.190638,128.072609,2022,3
방범,성북동,성북동 202,35.193848,128.079399,2019,2
방범,성북동,성북동 2-14,35.191963,128.082398,2016,2
방범,성북동,성북동 219,35.195989,128.082184,2007,2
방범,성북동,성북동 22,35.197462,128.080537,2022,2
방범,성북동,성북동 2-3,35.192466,128.081356,2021,4
방범,성북동,성북동 24-1,35.190574,128.080027,2019,3
방범,성북동,성북동 24-16,35.1957,128.076253,2020,2
방범,성북동,성북동 253-3,35.191635,128.069544,2019,4
방범,성북동,성북동 27,35.197924,128.07958,2019,3
교통정보수집,성북동,성북동 27-1,35.19543,128.075829,2016,2
방범,성북동,성북동 32,35.195952,128.076714,2020,2
방범,성북동,성북동 32,35.195592,128.076416,2020,1
방범,성북동,성북동 442-6,35.194934,128.073746,2011,3
방범,성북동,성북동 445-3,35.194679,128.074724,2015,1
방범,성북동,성북동 464-1,35.194533,128.07439,2017,3
방범,성북동,성북동 465-1,35.193324,128.073984,2015,4
방범,성북동,성북동 466-1,35.194004,128.075751,2017,2
방범,성북동,성북동 467-1,35.193762,128.074914,2017,1
방범,성북동,성북동 467-11,35.193619,128.07461,2017,4
방범,성북동,성북동 467-9,35.192988,128.074839,2021,2
방범,성북동,성북동 470-6,35.19414,128.073227,2022,3
방범,성북동,성북동 471-2,35.194493,128.073699,2015,1
방범,성북동,성북동 473-7,35.195182,128.072634,2023,2
방범,성북동,성북동 474-35,35.195472,128.072204,2019,3
방범,성북동,성북동 476-4,35.194107,128.071296,2019,4
방범,성북동,성북동 478-16,35.19364,128.072962,2019,4
방범,성북동,성북동 479-13,35.192602,128.071886,2005,2
방범,성북동,성북동 483-7,35.193176,128.071114,2022,2
방범,성북동,성북동 5,35.191339,128.08271,2015,2
방범,성북동,성북동 5-17,35.19321,128.077597,2011,4
방범,성북동,성북동 5-5,35.193169,128.076848,2019,3
방범,성북동,성북동 6-5,35.190927,128.082565,2020,3
방범,성북동,성북동 6-8,35.191225,128.081855,2022,2
방범,수곡면,수곡면 대천리 273-12,35.201422,127.927774,2016,2
방범,수곡면,수곡면 대천리 431-11,35.197803,127.928957,2018,2
방범,수곡면,수곡면 대천리 98-1,35.200623,127.931512,2021,6
학교내,수곡면,수곡면 대천리 98-1,35.200411,127.932092,2016,4
방범,수곡면,수곡면 사곡리 231-3,35.20808,127.93344,2021,3
방범,수곡면,수곡면 사곡리 582,35.215899,127.922599,2019,2
방범,수곡면,수곡면 사곡리 71-1,35.222814,127.932367,2016,2
방범,수곡면,수곡면 사곡리 942-2,35.240155,127.917716,2022,4
방범,수곡면,수곡면 원계리 269-1,35.211117,127.896444,2017,3
방범,수곡면,수곡면 원계리 710-5,35.215366,127.895408,2013,2
방범,수곡면,수곡면 원계리 812,35.225552,127.895124,2015,2
방범,수곡면,수곡면 원내리 244-2,35.158706,127.957445,2017,1
방범,수곡면,수곡면 원내리 614-9,35.17155,127.951073,2015,3
재난재해,수곡면,수곡면 원내리 865-49,35.15963,127.96152,2018,1
재난재해,수곡면,수곡면 원내리 96-4,35.16543,127.959387,2019,1
방범,수곡면,수곡면 원외리 227-1,35.160421,127.948433,2016,2
재난재해,수곡면,수곡면 원외리 635-5,35.165442,127.940417,2019,1
방범,수곡면,수곡면 자매리 58-8,35.243925,127.935405,2020,3
방범,수곡면,수곡면 창촌리 270-2,35.18186,127.92065,2021,3
방범,수곡면,수곡면 창촌리 479,35.195788,127.897869,2016,2
재난재해,수곡면,수곡면 창촌리 741,35.195774,127.897134,2017,3
재난재해,수곡면,수곡면 창촌리 743,35.189923,127.905762,2017,3
재난재해,수곡면,수곡면 창촌리 745,35.183294,127.915569,2018,3
방범,수곡면,수곡면 효자리508-2,35.194188,127.938025,2023,3
방범,신안동,신안동 10-33,35.187066,128.072143,2020,1
방범,신안동,신안동 11-64,35.186767,128.069723,2018,2
방범,신안동,신안동 11-74,35.187739,128.070558,2017,5
방범,신안동,신안동 15-63,35.186676,128.072773,2020,2
방범,신안동,신안동 16-15,35.186782,128.073187,2018,2
방범,신안동,신안동 17-1,35.186602,128.073986,2016,4
방범,신안동,신안동 19-25,35.185815,128.071344,2018,2
방범,신안동,신안동 23-8,35.184704,128.073612,2018,3
방범,신안동,신안동 25-18,35.183543,128.072594,2017,4
방범,신안동,신안동 26-39,35.182986,128.074101,2018,3
교통정보수집,신안동,신안동 26-7,35.183958,128.074663,2017,2
교통정보수집,신안동,신안동 277,35.185244,128.075311,2020,5
방범,신안동,신안동 28-3,35.183188,128.072345,2018,2
방범,신안동,신안동 30-5,35.182491,128.071759,2018,5
방범,신안동,신안동 33-16,35.181399,128.072194,2016,2
교통정보수집,신안동,신안동 33-16,35.181002,128.073068,2017,2
방범,신안동,신안동 341,35.17487,128.061577,2018,2
교통정보수집,신안동,신안동 34-2,35.18064,128.071228,2019,6
방범,신안동,신안동 350-6,35.18401,128.06759,2018,3
방범,신안동,신안동 35-29,35.186847,128.064833,2018,2
방범,신안동,신안동 3-6,35.190309,128.069379,2017,5
방범,신안동,신안동 380,35.185368,128.06889,2018,2
방범,신안동,신안동 380,35.184183,128.067121,2019,1
학교내,신안동,신안동 380,35.18491,128.067916,2022,16
방범,신안동,신안동 385-3,35.18435,128.06671,2020,3
방범,신안동,신안동 388-8,35.18339,128.066543,2015,4
방범,평거동,신안동 396-31,35.18314,128.064108,2024,3
방범,신안동,신안동 396-41,35.182835,128.063403,2015,5
방범,평거동,신안동 417-21,35.182856,128.064761,2024,2
방범,신안동,신안동 425-2,35.182731,128.066027,2015,2
방범,신안동,신안동 4-3,35.189435,128.070912,2018,2
방범,신안동,신안동 436,35.185078,128.07025,2018,3
방범,신안동,신안동 442-4,35.183612,128.069236,2018,2
방범,신안동,신안동 443-11,35.183612,128.069725,2019,2
방범,신안동,신안동 451,35.181803,128.068097,2019,3
방범,신안동,신안동 454-3,35.179784,128.066615,2019,3
방범,신안동,신안동 454-4,35.181565,128.06891,2019,1
방범,신안동,신안동 457-8,35.181204,128.070192,2017,2
방범,신안동,신안동 46,35.183659,128.067993,2018,2
방범,신안동,신안동 460-13,35.179745,128.069721,2019,3
방범,신안동,신안동 461-12,35.179854,128.069145,2018,4
방범,신안동,신안동 461-20,35.180649,128.069709,2018,3
방범,신안동,신안동 463-2,35.179773,128.0685,2018,2
방범,신안동,신안동 469-10,35.178943,128.070596,2016,2
방범,신안동,신안동 47,35.186552,128.068674,2018,3
방범,신안동,신안동 475,35.183045,128.068438,2020,15
학교내,신안동,신안동 475,35.181949,128.068811,2016,8
방범,신안동,신안동 514-2,35.182102,128.074054,2018,2
방범,신안동,신안동 530-1,35.177049,128.071736,2019,2
교통정보수집,신안동,신안동 531-4,35.177557,128.071123,2018,8
방범,신안동,신안동 5-39,35.189448,128.07027,2018,2
방범,신안동,신안동 581-8,35.178721,128.064851,2020,5
방범,신안동,신안동 594-4,35.172821,128.069697,2019,3
교통정보수집,평거동,신안동 609-2,35.163908,128.055696,2024,4
방범,신안동,신안동 613-1,35.17054,128.06759,2022,2
방범,신안동,신안동 705-1,35.176075,128.066446,2020,2
방범,신안동,신안동 705-1,35.17711,128.064835,2019,2
방범,신안동,신안동 705-2,35.177388,128.065587,2016,4
방범,신안동,신안동 707-3,35.178882,128.06646,2019,2
방범,신안동,신안동 708-2,35.176726,128.069708,2019,2
방범,신안동,신안동 708-3,35.17744,128.07068,2018,2
방범,신안동,신안동 710-1,35.177118,128.067265,2017,4
방범,신안동,신안동 710-1,35.175748,128.067683,2020,4
방범,신안동,신안동 710-1,35.176789,128.068428,2017,4
학교내,신안동,신안동 710-1,35.17623,128.06729,2022,12
방범,신안동,신안동 710-3,35.176948,128.06795,2018,2
방범,신안동,신안동 7-2,35.189027,128.06952,2018,3
방범,신안동,신안동 724-16,35.175894,128.068605,2018,5
방범,신안동,신안동 724-5,35.176067,128.068951,2020,3
방범,신안동,신안동 766-3,35.178235,128.063142,2015,2
방범,신안동,신안동 774-7,35.178204,128.062241,2018,3
방범,신안동,신안동 780-21,35.179304,128.062237,2018,2
방범,신안동,신안동 782-75,35.179888,128.06231,2016,3
방범,평거동,신안동 806,35.178174,128.059995,2024,2
방범,신안동,신안동 808-4,35.177,128.058377,2018,3
재난재해,신안동,신안동 8-1,35.189073,128.070862,2019,1
방범,신안동,신안동 819-1,35.178933,128.060714,2022,2
방범,신안동,신안동 875-2,35.180269,128.055826,2020,1
주정차단속,신안동,신안동 884-2,35.180569,128.065019,2022,3
방범,평거동,신안동 887-1,35.182247,128.06484,2023,2
방범,신안동,신안동 892-1,35.179549,128.063154,2018,4
방범,신안동,신안동 892-6,35.178745,128.062753,2018,2
방범,신안동,신안동465-14,35.178778,128.069708,2017,3
방범,이현동,유곡동 29-3,35.19498,128.067716,2019,2
방범,이반성면,이반성면 가산리 1160-4,35.161946,128.310389,2020,3
방범,이반성면,이반성면 가산리 1283-77,35.156551,128.319521,2019,2
방범,이반성면,이반성면 가산리 431-2,35.156305,128.315789,2021,2
방범,이반성면,이반성면 가산리 566-8,35.153277,128.314448,2016,3
교통정보수집,이반성면,이반성면 길성리 1240-8,35.149149,128.324204,2020,3
방범,이반성면,이반성면 길성리 573-2,35.139644,128.328749,2018,2
교통정보수집,이반성면,이반성면 길성리 791-3,35.147602,128.326157,2020,3
방범,이반성면,이반성면 대천리 1066-1,35.137316,128.308111,2012,2
방범,이반성면,이반성면 대천리 1082-5,35.138707,128.30744,2019,2
방범,이반성면,이반성면 대천리 114-3,35.155627,128.305604,2019,3
방범,이반성면,이반성면 대천리 15-2,35.155627,128.305604,2019,3
방범,이반성면,이반성면 대천리 25-2,35.155727,128.309061,2025,3
방범,이반성면,이반성면 대천리 31-2,35.155627,128.305604,2019,3
방범,이반성면,이반성면 대천리 77-4,35.155627,128.305604,2019,3
방범,이반성면,이반성면 대천리 880,35.148745,128.309121,2019,2
방범,이반성면,이반성면 발산리 559-3,35.142526,128.343016,2019,2
방범,이반성면,이반성면 발산리 620-2,35.142211,128.343232,2021,2
방범,이반성면,이반성면 발산리 645-1,35.142283,128.343029,2018,1
방범,이반성면,이반성면 용암리 280-8,35.168146,128.326323,2016,5
방범,이반성면,이반성면 용암리 578-2,35.169705,128.31934,2021,3
방범,이반성면,이반성면 장안리 1097-13,35.191757,128.335006,2019,3
방범,이반성면,이반성면 장안리 1202,35.189647,128.339096,2019,3
방범,이반성면,이반성면 장안리 958-1,35.193411,128.347094,2019,2
방범,이반성면,이반성면 평천리 742-4,35.1865,128.33102,2019,6
방범,이반성면,이반성면 평촌리 223-1,35.189614,128.332291,2019,3
방범,이반성면,이반성면 평촌리 705-1,35.186829,128.328271,2020,3
방범,이반성면,이반성면 평촌리 775-5,35.187343,128.332024,2019,1
방범,이반성면,이반성면 평촌리 777-6,35.187277,128.331944,2021,1
방범,이반성면,이반성면 평촌리 795-5,35.183171,128.330854,2018,2
방범,이반성면,이반성면 평촌리 산 334-1,35.19726,128.336081,2019,2
방범,이반성면,이반성면 하곡리 955-3,35.172088,128.330191,2020,2
방범,이반성면,이반성면 하곡리 977,35.172668,128.32777,2019,8
학교내,이반성면,이반성면 하곡리 977,35.173153,128.329275,2021,8
방범,이현동,이현동 101-23,35.185941,128.062751,2019,3
방범,이현동,이현동 102-15,35.18491,128.06489,2022,3
방범,이현동,이현동 102-42,35.185551,128.064924,2023,2
교통정보수집,이현동,이현동 1099-2,35.193723,128.063953,2018,1
방범,이현동,이현동 115-37,35.184245,128.063236,2017,2
방범,이현동,이현동 115-5,35.185594,128.064003,2019,3
방범,이현동,이현동 11-7,35.19641,128.06728,2022,1
방범,이현동,이현동 11-72,35.193131,128.060565,2022,5
방범,이현동,이현동 1194,35.193799,128.059635,2016,3
방범,이현동,이현동 12-1,35.19203,128.060738,2022,4
방범,이현동,이현동 14-14,35.192706,128.062352,2022,2
방범,이현동,이현동 14-7,35.193194,128.061917,2022,2
방범,이현동,이현동 15-18,35.192863,128.063948,2017,2
재난재해,이현동,이현동 17-3,35.192892,128.065939,2015,1
방범,이현동,이현동 20-5,35.192001,128.067484,2022,2
방범,이현동,이현동 212,35.185137,128.058912,2022,2
교통정보수집,이현동,이현동 213-1,35.187461,128.056881,2021,2
방범,이현동,이현동 21-6,35.191487,128.065766,2019,3
방범,이현동,이현동 22-1,35.191211,128.06402,2022,4
방범,이현동,이현동 23-4,35.195173,128.067419,2019,1
방범,이현동,이현동 241-8,35.186355,128.06088,2022,2
방범,이현동,이현동 25-1,35.190551,128.062891,2022,2
방범,이현동,이현동 25-1,35.191839,128.062628,2022,2
학교내,이현동,이현동 25-1,35.191375,128.061805,2015,13
방범,이현동,이현동 285-1,35.192584,128.062029,2022,2
방범,이현동,이현동 28-8,35.190755,128.065029,2019,2
방범,이현동,이현동 29-14,35.190574,128.067528,2021,4
방범,이현동,이현동 296-5,35.187462,128.05966,2019,4
방범,이현동,이현동 298-4,35.187143,128.058399,2022,3
방범,이현동,이현동 31-2,35.19406,128.06714,2022,1
방범,이현동,이현동 365-2,35.189251,128.056442,2021,9
교통정보수집,이현동,이현동 417-3,35.194781,128.059371,2021,5
교통정보수집,이현동,이현동 447-2,35.194105,128.061626,2022,6
방범,이현동,이현동 526-4,35.194148,128.053882,2019,2
방범,이현동,이현동 558-2,35.201026,128.055641,2021,1
교통정보수집,이현동,이현동 668-1,35.1957,128.05633,2021,2
방범,이현동,이현동 7-36,35.19143,128.057585,2022,2
방범,이현동,이현동 7-45,35.197511,128.055989,2014,3
방범,이현동,이현동 813-3,35.205617,128.04971,2023,1
방범,이현동,이현동 87-3,35.188959,128.054606,2023,1
방범,이현동,이현동 92-35,35.183362,128.064547,2019,3
방범,이현동,이현동 945-1,35.20229,128.047334,2023,2
방범,이현동,이현동 98,35.187099,128.06443,2023,2
방범,이현동,이현동 981-1,35.204356,128.050578,2022,1
방범,이현동,이현동722-2,35.203461,128.055217,2022,1
방범,일반성면,일반성면 가선리 100-3,35.167182,128.308209,2018,2
방범,일반성면,일반성면 가선리 235,35.182971,128.296168,2017,3
방범,일반성면,일반성면 개암리 805-3,35.169732,128.286647,2015,9
학교내,일반성면,일반성면 개암리 805-3,35.169604,128.285659,2021,9
방범,일반성면,일반성면 개암리 86 -7,35.166886,128.298854,2021,1
방범,일반성면,일반성면 개암리 86 -8,35.166886,128.298854,2021,1
방범,일반성면,일반성면 개암리 86-6,35.166729,128.299299,2021,1
방범,일반성면,일반성면 개암리223-1,35.167355,128.293244,2018,4
방범,일반성면,일반성면 남산리 1218-1,35.148194,128.259227,2019,2
방범,일반성면,일반성면 남산리 473-1,35.144823,128.280236,2019,2
방범,일반성면,일반성면 남산리 666,35.144671,128.273148,2019,2
방범,일반성면,일반성면 남산리 712,35.142737,128.274557,2016,2
방범,일반성면,일반성면 남산리 산79-2,35.141315,128.287629,2014,2
방범,일반성면,일반성면 답천리 1221,35.16025,128.290417,2022,2
방범,일반성면,일반성면 답천리 1232-24,35.168631,128.275457,2023,2
방범,일반성면,일반성면 답천리 300,35.159408,128.2877,2017,2
방범,일반성면,일반성면 운천리 221-3,35.161954,128.275644,2019,2
방범,일반성면,일반성면 운천리 799-2,35.173732,128.261364,2016,4
방범,일반성면,일반성면 창촌리 46-5,35.170683,128.28423,2019,3
방범,일반성면,일반성면 창촌리 471-2,35.173793,128.279231,2019,2
방범,일반성면,일반성면 창촌리 471-2,35.173715,128.279209,2021,2
방범,일반성면,일반성면 창촌리 541-12,35.17314,128.277447,2019,2
방범,일반성면,일반성면 창촌리 593-1,35.171773,128.279429,2017,2
방범,일반성면,일반성면 창촌리 644-22,35.169523,128.280317,2021,2
방범,일반성면,일반성면 창촌리 653-10,35.174153,128.259198,2017,6
방범,일반성면,일반성면 창촌리 655-1,35.17008,128.278129,2019,2
방범,일반성면,일반성면 창촌리 655-2,35.169758,128.278435,2019,2
방범,일반성면,일반성면 창촌리 728-8,35.172502,128.275526,2016,2
방범,일반성면,일반성면 창촌리 729-2,35.171104,128.276715,2016,5
방범,일반성면,일반성면 창촌리 736-4,35.172945,128.275142,2019,2
방범,일반성면,일반성면 창촌리 751-2,35.173525,128.275194,2015,2
방범,일반성면,일반성면 창촌리 758,35.178126,128.284023,2019,1
방범,중앙동,장대동 137-8,35.194291,128.088172,2022,3
방범,정촌면,정촌면 관봉리 1150,35.136469,128.14287,2022,7
학교내,정촌면,정촌면 관봉리 1150,35.13678,128.143125,2023,6
방범,정촌면,정촌면 관봉리 1247,35.137812,128.137974,2020,2
방범,정촌면,정촌면 관봉리 1382-14,35.117061,128.135455,2020,3
방범,정촌면,정촌면 관봉리 671,35.11964,128.14099,2020,2
방범,정촌면,정촌면 관봉리 966-13,35.124918,128.144266,2020,3
방범,정촌면,정촌면 대축리 102,35.126044,128.093257,2022,3
방범,정촌면,정촌면 대축리 1276-15,35.125946,128.09599,2022,5
방범,정촌면,정촌면 대축리 1276-166,35.126394,128.095461,2022,5
방범,정촌면,정촌면 대축리 1276-190,35.125783,128.0959,2020,3
방범,정촌면,정촌면 대축리 1276-306,35.12478,128.095521,2022,4
방범,정촌면,정촌면 대축리 1276-386,35.11964,128.090407,2020,16
방범,정촌면,정촌면 대축리 1276-531,35.123623,128.09544,2020,5
방범,정촌면,정촌면 대축리 241-2,35.126369,128.086052,2020,2
방범,정촌면,정촌면 대축리 458-10,35.130666,128.090483,2021,2
방범,정촌면,정촌면 대축리 68,35.130431,128.094238,2020,4
방범,정촌면,정촌면 대축리 915-4,35.130391,128.076608,2020,3
방범,정촌면,정촌면 대축리 93,35.12917,128.089957,2023,6
방범,정촌면,정촌면 대축리 산 245-50,35.126603,128.094365,2021,9
방범,정촌면,정촌면 대축리 산 245-50,35.126603,128.094365,2023,3
방범,정촌면,정촌면 소곡리 217-1,35.121855,128.123443,2020,4
방범,정촌면,정촌면 소곡리 385-7,35.121154,128.128861,2016,2
방범,정촌면,정촌면 예하리 1239-1,35.125267,128.10766,2019,2
방범,정촌면,정촌면 예하리 1240-4,35.122794,128.106011,2019,6
방범,정촌면,정촌면 예하리 1241-1,35.127356,128.104957,2019,2
방범,정촌면,정촌면 예하리 1241-6,35.123691,128.103418,2019,2
방범,정촌면,정촌면 예하리 1244-4,35.120708,128.101266,2019,4
방범,정촌면,정촌면 예하리 1245,35.119605,128.103528,2019,2
방범,정촌면,정촌면 예하리 1247-1,35.117558,128.102199,2019,2
방범,정촌면,정촌면 예하리 1247-2,35.11661,128.103674,2019,2
방범,정촌면,정촌면 예하리 1249-7,35.119276,128.100202,2019,2
방범,정촌면,정촌면 예하리 1250-3,35.114992,128.107079,2020,1
방범,정촌면,정촌면 예하리 1267-1,35.116076,128.109304,2025,2
교통정보수집,정촌면,정촌면 예하리 1269-6,35.133571,128.098823,2020,2
방범,정촌면,정촌면 예하리 1271-3,35.132149,128.101548,2019,3
교통정보수집,정촌면,정촌면 예하리 1271-3,35.132252,128.101493,2023,4
방범,정촌면,정촌면 예하리 1275-5,35.132057,128.100193,2019,2
교통정보수집,정촌면,정촌면 예하리 1280-5,35.129016,128.099878,2019,4
주정차단속,정촌면,정촌면 예하리 1286-2,35.128887,128.099983,2023,4
방범,정촌면,정촌면 예하리 1291-1,35.126278,128.099684,2020,4
방범,정촌면,정촌면 예하리 1291-4,35.125507,128.099763,2019,2
학교내,정촌면,정촌면 예하리 1294,35.123284,128.094167,2020,7
방범,정촌면,정촌면 예하리 1294,35.124938,128.098454,2019,5
방범,정촌면,정촌면 예하리 1296,35.122503,128.09811,2020,3
방범,정촌면,정촌면 예하리 1350,35.124817,128.100377,2021,6
교통정보수집,정촌면,정촌면 예하리 1364-1,35.118477,128.097466,2018,1
방범,정촌면,정촌면 예하리 1367-2,35.116257,128.096855,2020,4
방범,정촌면,정촌면 예하리 1372-4,35.115176,128.096818,2020,4
방범,정촌면,정촌면 예하리 1383-3,35.116275,128.101454,2020,2
방범,정촌면,정촌면 예하리 1383-3,35.116412,128.101408,2025,3
방범,정촌면,정촌면 예하리 1388,35.108992,128.104963,2019,4
방범,정촌면,정촌면 예하리 1393-7,35.11229,128.104157,2020,4
방범,정촌면,정촌면 예하리 1393-9,35.112308,128.102105,2020,3
방범,정촌면,정촌면 예하리 1401-5,35.318959,128.088138,2023,8
방범,정촌면,정촌면 예하리 1401-6,35.115487,128.106951,2019,1
방범,정촌면,정촌면 예하리 1401-9,35.113563,128.105723,2020,4
방범,정촌면,정촌면 예하리 1406-3,35.113801,128.109278,2020,3
방범,정촌면,정촌면 예하리 1406-7,35.112281,128.108087,2020,3
방범,정촌면,정촌면 예하리 1407-10,35.112363,128.106007,2020,4
방범,정촌면,정촌면 예하리 1411-3,35.111337,128.106319,2019,2
방범,정촌면,정촌면 예하리 1416,35.10934,128.11057,2019,3
방범,정촌면,정촌면 예하리 276-17,35.114508,128.093955,2018,1
방범,정촌면,정촌면 예하리 279-3,35.114171,128.097786,2020,3
방범,정촌면,정촌면 예하리 352-2,35.115836,128.09585,2015,1
방범,정촌면,정촌면 예하리 352-2,35.116208,128.095961,2019,1
방범,정촌면,정촌면 예하리 497-4,35.125103,128.096297,2020,4
방범,정촌면,정촌면 예하리 730-1,35.119624,128.094064,2021,3
방범,정촌면,정촌면 예하리 730-1,35.119363,128.094064,2019,2
방범,정촌면,정촌면 예하리 744-3,35.121327,128.094702,2021,2
